Address,District,Community,Area,RentPrice,Layer,Shape,Toward,Release_Date,Rent_Period,Is_lift,Is_parking,water_way,electricity_way,Subwayline_Number,Subway_Distance,Is_TV,Is_fridge,Is_washer,Is_air,Is_heater,Is_bed,Is_heating,Is_wifi,Is_closet,Is_gas,Is_img,Catch_time,date,Price,Layer_class,Layer_floor,Release_day_before,lng,lat,level
黄浦,打浦桥,海华花园,115,11500元/月 (季付价),低楼层/33层,3室2厅,南,1个月前,1年以内,1.0,暂无数据,民水,民电,4,94,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/340abe27-8052-4823-b620-8a790bc9fef8.jpg.780x439.jpg,2019-07-13 10:50:00,2019-07-13,11500,低楼层,33,30,121.47565938142603,31.21051581938381,地产小区
徐汇,徐家汇,虹桥路400弄,89,9350元/月 (季付价),低楼层/18层,2室2厅,南/西南,21天前,1年以内,1.0,暂无数据,民水,民电,3,495,0,1,1,1,1,1,0,1,1,0,https://image1.ljcdn.com/lease-image/house/42522ad6-b854-42d5-a93c-d1337cdd2aa4.png.780x439.jpg,2019-07-13 10:50:00,2019-07-13,9350,低楼层,18,21,121.44348142229559,31.200208369797128,商圈
松江,九亭,中大九里德(公寓),87,5400元/月 (季付价),中楼层/17层,2室2厅,南,1个月前,1年以内,1.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/4ef575b8-2fa5-468c-8878-27dcb85cb5d6.jpg.780x439.jpg,2019-07-13 10:50:00,2019-07-13,5400,中楼层,17,30,121.33428124856944,31.13491723367045,商圈
黄浦,新天地,马当小区,62,10500元/月 (季付价),中楼层/27层,2室1厅,东,25天前,1年以内,1.0,暂无数据,民水,民电,4,334,0,1,1,1,1,1,0,1,1,0,https://image1.ljcdn.com/lease-image/house/9c4dced9-0192-48c8-ac01-0a2bf18e0b04.jpg.780x439.jpg,2019-07-13 10:50:00,2019-07-13,10500,中楼层,27,25,121.49158559252436,31.23724715206362,区县
松江,九亭,颐亭花园(公寓),99,5300元/月 (季付价),中楼层/14层,2室2厅,南/北,2天前,1年以内,1.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/ca617970aaaaab24aad9d5d087b3abc4.jpeg.780x439.jpg,2019-07-13 10:50:00,2019-07-13,5300,中楼层,14,2,121.30385176924975,31.154000470288928,地产小区
徐汇,斜土路,枫林新村,40,4990元/月 (季付价),高楼层/5层,1室1厅,南,2天前,1年以内,0.0,暂无数据,民水,民电,3,323,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/01f5e83e-4b09-4486-8bd8-123bd45b8f69.jpg.780x439.jpg,2019-07-13 10:50:00,2019-07-13,4990,高楼层,5,2,121.46565791647127,31.197700586983473,地产小区
徐汇,田林,金丽广场,82,8300元/月 (季付价),低楼层/24层,3室1厅,南,18天前,1年以内,1.0,暂无数据,民水,民电,2,464,0,0,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/4ba71937-cc90-401d-a9fe-b465c120e398.jpg.780x439.jpg,2019-07-13 10:57:00,2019-07-13,8300,低楼层,24,18,121.42721481629037,31.182948065358314,购物
浦东,世博,济阳一村,57,5500元/月 (季付价),高楼层/6层,2室1厅,南,1个月前,1年以内,0.0,暂无数据,民水,民电,2,870,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/rent-front-image/1efeae8459c48eeb3fef0bc54884fd1d.png.780x439.jpg,2019-07-13 10:57:00,2019-07-13,5500,高楼层,6,30,121.48959968427921,31.170768761718698,地产小区
徐汇,田林,田林新苑,35,5000元/月 (季付价),低楼层/18层,1室0厅,南,5天前,1年以内,1.0,暂无数据,民水,民电,2,826,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/rent-front-image/1efeae8459c48eeb3fef0bc54884fd1d.png.780x439.jpg,2019-07-13 10:57:00,2019-07-13,5000,低楼层,18,5,121.43344825074958,31.18002215685064,地产小区
松江,九亭,海德公寓,99,5500元/月 (季付价),低楼层/6层,2室2厅,南,9天前,1年以内,0.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/0873013d-b67b-4a8c-94ae-5a9814caa56e.jpg.780x439.jpg,2019-07-13 10:57:00,2019-07-13,5500,低楼层,6,9,121.34114164278306,31.135801453387007,地产小区
松江,九亭,贝尚湾(公寓),89,7500元/月 (季付价),中楼层/16层,2室2厅,南,11天前,1年以内,1.0,暂无数据,民水,民电,1,794,0,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/aaa43753-af6f-455a-b1d3-f92d465cd78f.jpg.780x439.jpg,2019-07-13 10:57:00,2019-07-13,7500,中楼层,16,11,121.32737756770823,31.15222316947779,地产小区
闵行,莘庄,万科假日风景(公寓),90,6000元/月 (季付价),高楼层/6层,2室1厅,南,8天前,1年以内,0.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/4e085b71-f059-42c7-8494-e65228afc44f.jpg.780x439.jpg,2019-07-13 10:57:00,2019-07-13,6000,高楼层,6,8,121.40816561913743,31.111718772510798,地产小区
松江,九亭,贝尚湾(公寓),65,6000元/月 (季付价),中楼层/16层,1室1厅,南,13天前,1年以内,1.0,暂无数据,民水,民电,1,794,0,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/4a9a5b13-447e-42fc-94e1-ab4a7cc66fc7.jpg.780x439.jpg,2019-07-13 10:57:00,2019-07-13,6000,中楼层,16,13,121.32737756770823,31.15222316947779,地产小区
黄浦,打浦桥,海丽花园,116,13500元/月 (季付价),高楼层/33层,3室2厅,南,13天前,1年以内,1.0,暂无数据,民水,民电,4,211,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/1f5e2b54-c3ae-4d81-b852-1f6c6cabae88.jpg.780x439.jpg,2019-07-13 10:57:00,2019-07-13,13500,高楼层,33,13,121.47620200017441,31.209446479123272,地产小区
松江,九亭,九城湖滨国际,122,6800元/月 (季付价),高楼层/14层,3室2厅,南/北,21天前,1年以内,1.0,暂无数据,民水,民电,0,0,0,0,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/742e5452-0946-4f6a-8236-5565a8155c80.jpg.780x439.jpg,2019-07-13 10:57:00,2019-07-13,6800,高楼层,14,21,121.33428124856944,31.13491723367045,商圈
松江,九亭,摩卡小城,124,6700元/月 (季付价),中楼层/12层,3室2厅,南,21天前,1年以内,1.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/11eb34af314a3bb991a432a314afd902.jpeg.780x439.jpg,2019-07-13 10:57:00,2019-07-13,6700,中楼层,12,21,121.31459245789341,31.1511146550913,地产小区
闵行,梅陇,罗阳一村,80,5600元/月 (季付价),高楼层/6层,3室1厅,南,13天前,1年以内,0.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/622d1b06-4d3d-49c3-94d8-a5a1f0913345.jpg.780x439.jpg,2019-07-13 10:57:00,2019-07-13,5600,高楼层,6,13,121.42119383377918,31.1415550305217,商圈
松江,九亭,贝尚湾(公寓),89,7200元/月 (季付价),低楼层/17层,2室2厅,南,13天前,1年以内,1.0,暂无数据,民水,民电,1,794,0,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/2a02b6fe-0209-46c1-a1ae-e14fe16292a5.jpg.780x439.jpg,2019-07-13 10:57:00,2019-07-13,7200,低楼层,17,13,121.32737756770823,31.15222316947779,地产小区
徐汇,康健,长兴坊,58,5660元/月 (季付价),高楼层/6层,2室1厅,南/北,13天前,1年以内,0.0,暂无数据,民水,民电,1,982,0,1,1,1,1,1,0,1,1,0,https://image1.ljcdn.com/lease-image/house/d9d92e2b-a529-436d-9e1e-8b95005afe29.jpg.780x439.jpg,2019-07-13 10:57:00,2019-07-13,5660,高楼层,6,13,121.44339635276381,31.194556772822725,区县
徐汇,徐家汇,申峰大厦,65,7988元/月 (季付价),中楼层/26层,1室2厅,南,23天前,1年以内,1.0,暂无数据,民水,民电,4,243,0,0,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/41301a0b-3d80-4b02-add9-8da190d09d7c.jpg.780x439.jpg,2019-07-13 10:57:00,2019-07-13,7988,中楼层,26,23,121.44838894973732,31.193560677120306,商务大厦
松江,九亭,国亭花苑,114,5800元/月 (季付价),中楼层/6层,3室2厅,南,25天前,1年以内,0.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/1254f6d4-2bbf-476f-947b-21dd968aa0e2.jpg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,5800,中楼层,6,25,121.33428124856944,31.13491723367045,商圈
黄浦,打浦桥,明德坊,93,10300元/月 (季付价),高楼层/20层,2室2厅,南,12天前,1年以内,1.0,暂无数据,民水,民电,3,575,0,1,1,1,1,1,1,0,1,1,https://image1.ljcdn.com/lease-image/house/7e54744f-bfef-481a-8e06-770725fb944b.jpg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,10300,高楼层,20,12,121.47996986268683,31.2077549254058,地产小区
徐汇,康健,康宁坊,62,5600元/月 (季付价),低楼层/6层,2室1厅,南,6天前,1年以内,0.0,暂无数据,民水,民电,1,353,0,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/496557d9-eb24-425d-b801-51c539500ca3.jpg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,5600,低楼层,6,6,121.44339635276381,31.194556772822725,区县
徐汇,田林,福苑小区,45,5300元/月 (季付价),中楼层/22层,1室0厅,东南,13天前,1年以内,1.0,暂无数据,民水,民电,2,734,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/3e25d7fc142622aba6f4c250e072ed3c.jpeg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,5300,中楼层,22,13,121.43208638456252,31.18245534137128,地产小区
徐汇,徐家汇,泰东新村(徐汇),35,5188元/月 (季付价),高楼层/6层,1室0厅,南,1个月前,1年以内,0.0,暂无数据,民水,民电,3,353,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/3c241331-a692-4757-b0d9-517c24945ff6.jpg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,5188,高楼层,6,30,121.44736044292843,31.194126562389688,地产小区
徐汇,康健,康健路100弄,41,4800元/月 (季付价),高楼层/6层,1室1厅,南/北,12天前,1年以内,0.0,暂无数据,民水,民电,2,837,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/b715716d456caabba8ffaad816269c6f.jpeg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,4800,高楼层,6,12,121.43347130845541,31.171325203558776,道路
闵行,春申,高兴花园,53,3300元/月 (季付价),高楼层/6层,1室1厅,南,18天前,1年以内,0.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/rent-front-image/1efeae8459c48eeb3fef0bc54884fd1d.png.780x439.jpg,2019-07-13 10:58:00,2019-07-13,3300,高楼层,6,18,121.40893959916482,31.117246419253913,地产小区
徐汇,徐家汇,虹桥路400弄,89,8930元/月 (季付价),低楼层/18层,3室1厅,西南,7天前,1年以内,1.0,暂无数据,民水,民电,3,495,0,1,1,1,1,1,0,1,1,0,https://image1.ljcdn.com/lease-image/house/87bdb60b-6ea7-40c4-beb0-08306823fc37.jpg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,8930,低楼层,18,7,121.44348142229559,31.200208369797128,商圈
徐汇,康健,漕泾一村,59,6000元/月 (季付价),低楼层/6层,2室1厅,南,6天前,1年以内,0.0,暂无数据,民水,民电,2,493,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/b16c3837ebbd23f0b4f04689ae714d35.jpeg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,6000,低楼层,6,6,121.44339635276381,31.194556772822725,区县
浦东,南码头,临沂一村,39,5400元/月 (季付价),高楼层/6层,2室1厅,南,22天前,1年以内,0.0,暂无数据,民水,民电,2,717,0,1,1,1,1,1,0,1,1,0,https://image1.ljcdn.com/lease-image/house/9ca0bdbb-7a8e-4930-a5f4-ce032c0fd284.jpg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,5400,高楼层,6,22,121.51977998802333,31.204459103110224,地产小区
徐汇,康健,长兴坊,46,3900元/月 (季付价),高楼层/6层,1室1厅,南,6天前,1年以内,0.0,暂无数据,民水,民电,1,982,0,0,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/18ddf472-1a02-4fdb-bbda-f2889d51fbf9.jpg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,3900,高楼层,6,6,121.44339635276381,31.194556772822725,区县
松江,九亭,五洲云景花苑,55,3800元/月 (季付价),中楼层/11层,1室1厅,南,7天前,1年以内,1.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/94acd0b93331190bbe5c26a3ca050e82.jpeg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,3800,中楼层,11,7,121.31877294266894,31.156226485918484,地产小区
黄浦,老西门,老西门新苑,115,15000元/月 (季付价),低楼层/44层,2室2厅,东北,1个月前,1年以内,1.0,暂无数据,民水,民电,4,212,0,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/187975b3-9f06-47cc-b0fc-15cd60f3d283.jpg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,15000,低楼层,44,30,121.48974539572106,31.22178837554084,地产小区
徐汇,徐家汇,福源汇居,48,7988元/月 (季付价),低楼层/17层,1室1厅,东,13天前,1年以内,1.0,暂无数据,民水,民电,3,366,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/8e7eb63b-4418-45b0-8fa7-74cd991fb74a.jpg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,7988,低楼层,17,13,121.4474170927688,31.195161525810168,地产小区
黄浦,黄浦滨江,通达大厦,124,13600元/月 (季付价),低楼层/23层,3室2厅,南,1个月前,1年以内,1.0,暂无数据,民水,民电,1,138,0,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/8d37a27d-5e1e-49e3-80d9-eb3ab8fed586.jpg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,13600,低楼层,23,30,121.50427137580064,31.222516638036886,商务大厦
黄浦,打浦桥,南园新村,25,4400元/月 (季付价),低楼层/6层,1室0厅,北,15天前,1年以内,0.0,暂无数据,民水,民电,3,3,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/03b31348-1f1e-4674-b03b-c1d3969d21ce.jpg.780x439.jpg,2019-07-13 10:58:00,2019-07-13,4400,低楼层,6,15,121.4810002730051,31.203641851198977,地产小区
松江,九亭,三盛颐景园(公寓),93,5500元/月 (季付价),中楼层/9层,2室2厅,南/北,4天前,1年以内,1.0,暂无数据,民水,民电,0,0,0,1,1,1,0,1,0,0,1,0,https://image1.ljcdn.com/rent-front-image/1efeae8459c48eeb3fef0bc54884fd1d.png.780x439.jpg,2019-07-13 10:59:00,2019-07-13,5500,中楼层,9,4,121.34450128472936,31.130104668672146,UNKNOWN
松江,九亭,九城湖滨国际,58,5900元/月 (季付价),中楼层/16层,1室1厅,南,12天前,1年以内,1.0,暂无数据,民水,民电,0,0,0,1,1,0,1,1,0,0,1,1,https://image1.ljcdn.com/rent-front-image/1efeae8459c48eeb3fef0bc54884fd1d.png.780x439.jpg,2019-07-13 10:59:00,2019-07-13,5900,中楼层,16,12,121.33428124856944,31.13491723367045,商圈
徐汇,康健,花苑村紫竹园,57,5800元/月 (季付价),高楼层/6层,2室1厅,南,19天前,1年以内,0.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,1,1,1,1,https://image1.ljcdn.com/rent-front-image/1efeae8459c48eeb3fef0bc54884fd1d.png.780x439.jpg,2019-07-13 10:59:00,2019-07-13,5800,高楼层,6,19,121.42038538936261,31.15913260002608,地产小区
徐汇,康健,长青坊,60,5850元/月 (季付价),高楼层/6层,2室1厅,南,5天前,1年以内,0.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/rent-front-image/1efeae8459c48eeb3fef0bc54884fd1d.png.780x439.jpg,2019-07-13 10:59:00,2019-07-13,5850,高楼层,6,5,121.42384595413633,31.16046361891215,地产小区
黄浦,豫园,东淮海公寓,73,10500元/月 (季付价),中楼层/29层,1室2厅,南,15天前,1年以内,1.0,暂无数据,民水,民电,5,137,0,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/3c77c658-fd66-4b85-8ba9-ab625482685d.jpg.780x439.jpg,2019-07-13 10:59:00,2019-07-13,10500,中楼层,29,15,121.49205887556197,31.233219422324073,地产小区
